Concentration	%HNO3	Voltage	pH
0.01	0	0.55	4.46
0.01	0	0.23	4.93
0.01	0	0.58	4.85
0.01	50	0.49	8.86
0.01	50	0.48	8.26
0.01	50	0.49	8.59
0.001818	50	0.94	9.36
0.001818	50	0.95	9.07
0.001818	50	0.93	8.64
0.0025	50	1.31	9.65
0.0025	50	2.02	9.66
0.0025	50	0.58	9.28
0.01	83.33	0.36	5.42
0.01	83.33	0.68	5.25
0.01	83.33	0.34	5.65
0.001818	83.33	1.01	4.63
0.001818	83.33	1.16	4.75
0.001818	83.33	1.11	5.08
0.0025	83.33	1.5	4.17
0.0025	83.33	1.77	3.93
0.0025	83.33	1.41	4.59
0.01	16.67	0.22	10.19
0.01	16.67	0.32	10.1
